,Saudi Arabia,Switzerland,Denmark,USA,Hong Kong
Electricity,-0.019078288928215392,-0.012644495358061045,0.00020905892980269515,-0.006494501968184602,-6.321246048436168e-05
Food,-0.008446145928102673,0.025098170995476312,-0.005615849650053188,-0.00591709413059139,-0.0018980165844861615
Insurance,-0.019078288928215392,0.0026522064739568883,-0.002559350826114987,-0.003195900450111762,2.690068588288429e-05
Oil&Gas,0.08183905110626377,-0.017495625861867575,-0.008814313244644024,-0.015188526005697409,-0.0035454037415474163
Pharmaceuticals,-0.019078288928215392,0.005989312077389994,0.02716439615662195,-3.8777244519344264e-07,-0.006738854568494581
Real Estate,-0.019078288928215392,-0.012193465335005989,-0.006624234899015939,0.0008688502880131142,0.02103152494443994
Retail,-0.01571338088195676,-0.019849511503618,-0.008814313244644024,0.010596670361218058,-0.004493164850706426
Technology,-0.019078288928215392,-0.010451541031389313,-0.008814313244644024,0.023424947059691517,-0.007553059053440164
