,row_2009_data
HIV_AIDS,0.0001333614239436003
Neoplasms,7.338651883754274e-05
Alzheimer_s_disease_and_other_dementias,4.285039366095744e-05
Chronic_kidney_disease,3.707770309038891e-05
Cardiovascular_diseases,3.525141333920578e-05
Diabetes_mellitus,2.3480033050732384e-05
Malaria,1.0387230840202145e-05
Cirrhosis_and_other_chronic_liver_diseases,1.0035499563255598e-05
Parkinson_s_disease,1.0024882002716221e-05
Road_injuries_,6.065150903529558e-06
Digestive_diseases,4.481490149897368e-06
Alcohol_use_disorders,1.9896526300793163e-07
Poisonings,-3.688123203096511e-08
Drug_use_disorders,-2.9873357464131514e-07
Interpersonal_violence,-1.2023578220132233e-06
Fire__heat__and_hot_substances,-1.4760839781160573e-06
Self_harm,-2.463960502653589e-06
Environmental_heat_and_cold_exposure,-2.5863091572704206e-06
Chronic_respiratory_diseases,-3.419113580972917e-06
Maternal_disorders,-6.362515650483675e-06
Meningitis,-6.621811761562107e-06
Acute_hepatitis,-9.613557159339177e-06
Neonatal_disorders,-3.759868084357901e-05
Drowning,-3.810313839574999e-05
Conflict_and_terrorism,-6.702306679600046e-05
Tuberculosis,-6.947038340068389e-05
Lower_respiratory_infections,-0.00012016148174947942
Diarrheal_diseases,-0.00015862626678448451
Protein_energy_malnutrition,-0.00020261526987610883
Exposure_to_forces_of_nature,-0.00020291763919913212
Nutritional_deficiencies,-0.00022334585464534886
