,row_2006_data
HIV_AIDS,0.0007399274815046565
Malaria,2.78407218353273e-05
Road_injuries_,5.561610868369299e-06
Alcohol_use_disorders,5.21935830702403e-06
Cirrhosis_and_other_chronic_liver_diseases,5.051531920268035e-06
Diabetes_mellitus,1.8687230993683632e-06
Digestive_diseases,1.4426339432891029e-06
Chronic_kidney_disease,1.4105667439972744e-06
Environmental_heat_and_cold_exposure,9.020224544176579e-07
Self_harm,7.237139655924573e-07
Neoplasms,4.6614427241421113e-07
Parkinson_s_disease,2.2741815210122502e-07
Poisonings,1.4120131705975736e-07
Meningitis,6.709037620063626e-10
Fire__heat__and_hot_substances,-1.5883345685958798e-08
Interpersonal_violence,-8.656459730250972e-08
Alzheimer_s_disease_and_other_dementias,-1.2617288498621915e-07
Maternal_disorders,-1.7689232445498423e-07
Cardiovascular_diseases,-2.061821818526838e-07
Drug_use_disorders,-4.985586353095276e-07
Acute_hepatitis,-6.181023049286615e-07
Neonatal_disorders,-9.420400972220977e-07
Chronic_respiratory_diseases,-3.827271914098418e-06
Tuberculosis,-8.673620017643621e-06
Drowning,-1.1269613315873379e-05
Diarrheal_diseases,-3.846594175366193e-05
Lower_respiratory_infections,-5.255178105632559e-05
Conflict_and_terrorism,-5.4358159916347265e-05
Protein_energy_malnutrition,-9.723100430429827e-05
Exposure_to_forces_of_nature,-0.0001004891143400544
Nutritional_deficiencies,-0.00011119879724763864
