,row_2013_data
Neoplasms,0.0002935200703971276
Alzheimer_s_disease_and_other_dementias,0.00023450556235725308
Cardiovascular_diseases,0.00022657065719647578
Chronic_kidney_disease,0.00015917882692862155
Diabetes_mellitus,0.00011756515740836936
Parkinson_s_disease,4.2421966167464345e-05
Cirrhosis_and_other_chronic_liver_diseases,1.0444679592250933e-05
Digestive_diseases,8.852980142208555e-06
Drug_use_disorders,3.3797945333122534e-07
Conflict_and_terrorism,1.5881792008599064e-07
Chronic_respiratory_diseases,-3.3647975954611436e-07
Alcohol_use_disorders,-1.4803774332472193e-06
Poisonings,-2.030875307572706e-06
Road_injuries_,-2.3912183158814027e-06
Fire__heat__and_hot_substances,-5.758839941152216e-06
Interpersonal_violence,-6.486702347648836e-06
Environmental_heat_and_cold_exposure,-1.0774682386914595e-05
Self_harm,-2.216859708992089e-05
Maternal_disorders,-3.2181534855423456e-05
Acute_hepatitis,-3.626866135897781e-05
HIV_AIDS,-5.031654569383258e-05
Exposure_to_forces_of_nature,-5.786626236905994e-05
Meningitis,-6.918991242858428e-05
Malaria,-7.694803613261878e-05
Drowning,-0.00010403691429071752
Lower_respiratory_infections,-0.00020166524773847574
Tuberculosis,-0.0002186662669351109
Neonatal_disorders,-0.00021966118091660452
Protein_energy_malnutrition,-0.00033527751835730297
Nutritional_deficiencies,-0.0003604918302492579
Diarrheal_diseases,-0.0005065642372872629
