,row_2005_data
HIV_AIDS,0.0008883310504816024
Exposure_to_forces_of_nature,7.626267272395224e-05
Malaria,2.503510865178697e-05
Alcohol_use_disorders,7.6246470324737355e-06
Road_injuries_,4.938771053811415e-06
Environmental_heat_and_cold_exposure,3.150956187384915e-06
Cirrhosis_and_other_chronic_liver_diseases,2.8263055947344573e-06
Self_harm,2.147133401717927e-06
Poisonings,5.70736145185211e-07
Digestive_diseases,2.763538773625486e-07
Interpersonal_violence,1.3026100003074839e-07
Fire__heat__and_hot_substances,9.13878075697347e-08
Meningitis,3.5539431808622875e-08
Maternal_disorders,6.718721312989595e-09
Diabetes_mellitus,-5.189461230803944e-10
Neonatal_disorders,-2.2145965556076227e-09
Acute_hepatitis,-7.373913878918157e-08
Parkinson_s_disease,-1.5501811483207398e-07
Chronic_kidney_disease,-3.1750248328838056e-07
Drug_use_disorders,-7.306084809234655e-07
Cardiovascular_diseases,-1.4017133829953045e-06
Neoplasms,-1.926796893512246e-06
Tuberculosis,-2.4753727804946435e-06
Chronic_respiratory_diseases,-3.1047281467564618e-06
Drowning,-4.486623164224647e-06
Alzheimer_s_disease_and_other_dementias,-7.901215450137919e-06
Diarrheal_diseases,-3.3752731252891096e-05
Lower_respiratory_infections,-4.0992596823824414e-05
Protein_energy_malnutrition,-7.277610953964632e-05
Nutritional_deficiencies,-8.566848969038547e-05
Conflict_and_terrorism,-0.00011895455599356266
