,row_2015_data
Neoplasms,0.0004578363815399807
Cardiovascular_diseases,0.0003745456967449885
Alzheimer_s_disease_and_other_dementias,0.000368278941205349
Chronic_kidney_disease,0.0002333157614432574
Diabetes_mellitus,0.00020118075344346107
Parkinson_s_disease,6.167693495858623e-05
Conflict_and_terrorism,6.115513674923186e-05
Digestive_diseases,1.1983295384157479e-05
Cirrhosis_and_other_chronic_liver_diseases,1.081126515341046e-05
Drug_use_disorders,5.177575885771329e-06
Chronic_respiratory_diseases,-1.7805646395482655e-08
Alcohol_use_disorders,-1.867100456342044e-06
Poisonings,-5.182768300462251e-06
Environmental_heat_and_cold_exposure,-8.721827481246379e-06
Fire__heat__and_hot_substances,-9.290900950967477e-06
Interpersonal_violence,-1.0024808701642162e-05
Road_injuries_,-1.9151630723249148e-05
Self_harm,-4.244031221087904e-05
Maternal_disorders,-6.527177713724864e-05
Acute_hepatitis,-6.892491330111686e-05
Meningitis,-0.00012790133834192244
Drowning,-0.00014877996839473477
Exposure_to_forces_of_nature,-0.00015025641869299621
Malaria,-0.00017085486082777193
HIV_AIDS,-0.0001877739560935982
Lower_respiratory_infections,-0.00025742421117420445
Tuberculosis,-0.0003267357831222722
Protein_energy_malnutrition,-0.00040890089929674473
Nutritional_deficiencies,-0.0004384876044983095
Neonatal_disorders,-0.00044131785324112195
Diarrheal_diseases,-0.0008292942437265602
