,row_2002_data
HIV_AIDS,0.0007327357113572734
Malaria,2.6204862265992814e-05
Tuberculosis,2.6196101086143394e-05
Protein_energy_malnutrition,2.266696583941893e-05
Nutritional_deficiencies,1.6877174855040164e-05
Neonatal_disorders,1.5778922208692587e-05
Interpersonal_violence,1.0993897136009085e-05
Diarrheal_diseases,9.283561600457774e-06
Environmental_heat_and_cold_exposure,5.558432753074996e-06
Alcohol_use_disorders,4.872470133918778e-06
Maternal_disorders,3.6279860878128017e-06
Meningitis,3.074974885679797e-06
Road_injuries_,2.0768355217852747e-06
Drowning,1.9328208673454047e-06
Self_harm,1.5353864512748891e-06
Acute_hepatitis,1.3534618820434886e-06
Fire__heat__and_hot_substances,7.022041394592576e-07
Poisonings,3.3980920666107814e-07
Chronic_respiratory_diseases,3.727621636515565e-08
Drug_use_disorders,-4.301369833359709e-07
Lower_respiratory_infections,-8.684895393268604e-07
Cirrhosis_and_other_chronic_liver_diseases,-8.788055310691219e-07
Digestive_diseases,-2.4853981280199594e-06
Parkinson_s_disease,-7.48537726304795e-06
Diabetes_mellitus,-1.6029346123372238e-05
Chronic_kidney_disease,-2.4567537962688797e-05
Cardiovascular_diseases,-3.233669727508749e-05
Neoplasms,-6.264476749687177e-05
Alzheimer_s_disease_and_other_dementias,-7.04480817886765e-05
Conflict_and_terrorism,-8.184172180247497e-05
Exposure_to_forces_of_nature,-0.00023327135106364447
