,row_1995_data
Nutritional_deficiencies,0.0005261238194735559
Diarrheal_diseases,0.0005143238659748115
Protein_energy_malnutrition,0.000493395976042939
Lower_respiratory_infections,0.00032459630610428116
Neonatal_disorders,0.00027497823380395357
Tuberculosis,0.00019401518676884656
Drowning,0.00012007946938693984
Meningitis,5.857123597405008e-05
Acute_hepatitis,3.7116284748011426e-05
Maternal_disorders,2.953967989424407e-05
Self_harm,2.9499219192253212e-05
Malaria,1.6993592869326527e-05
Interpersonal_violence,1.6275717304021955e-05
Environmental_heat_and_cold_exposure,1.5360547897450678e-05
Fire__heat__and_hot_substances,6.819107730838211e-06
Poisonings,2.993763813093818e-06
Road_injuries_,1.2615146111569242e-06
Alcohol_use_disorders,6.881764220363943e-07
Chronic_respiratory_diseases,6.120621983134894e-07
Drug_use_disorders,-4.449192430929045e-07
Digestive_diseases,-1.1302395319413199e-05
Cirrhosis_and_other_chronic_liver_diseases,-1.7343975760252504e-05
Parkinson_s_disease,-5.892332137670813e-05
Conflict_and_terrorism,-6.326230649197342e-05
Exposure_to_forces_of_nature,-9.559482431954254e-05
HIV_AIDS,-0.00015146559703321425
Diabetes_mellitus,-0.0001885281257728924
Chronic_kidney_disease,-0.00022971653893058943
Cardiovascular_diseases,-0.00023532782131272228
Alzheimer_s_disease_and_other_dementias,-0.00030281507741006654
Neoplasms,-0.0003526815921636832
