,row_1996_data
Diarrheal_diseases,0.0004056768444949221
Nutritional_deficiencies,0.0003600798343437995
Protein_energy_malnutrition,0.00033590986200285225
Lower_respiratory_infections,0.00024464609180122054
Neonatal_disorders,0.0002265732806888644
Tuberculosis,0.00016452578485308747
Drowning,9.025755063722977e-05
Meningitis,6.805115769334218e-05
Acute_hepatitis,2.9377651839434182e-05
Maternal_disorders,2.505242731518022e-05
Self_harm,2.3585715802706075e-05
Malaria,2.117612950356415e-05
Interpersonal_violence,7.922112323863965e-06
Environmental_heat_and_cold_exposure,7.195545024758779e-06
Fire__heat__and_hot_substances,5.025142182584418e-06
Chronic_respiratory_diseases,2.047553640084816e-06
Poisonings,1.8522395224688503e-06
Road_injuries_,8.360813640514455e-07
Alcohol_use_disorders,4.838770842197483e-07
Drug_use_disorders,-1.1882547561080711e-07
Digestive_diseases,-9.84585550807451e-06
Conflict_and_terrorism,-1.220946021923252e-05
Cirrhosis_and_other_chronic_liver_diseases,-1.387880526738342e-05
HIV_AIDS,-2.316264234167374e-05
Parkinson_s_disease,-4.9179830243609916e-05
Exposure_to_forces_of_nature,-0.00013900035509671933
Diabetes_mellitus,-0.000146582725332743
Chronic_kidney_disease,-0.0001891473547871855
Cardiovascular_diseases,-0.00021299945129410643
Alzheimer_s_disease_and_other_dementias,-0.0002534149863226943
Neoplasms,-0.0002929590939963287
