,row_1997_data
Diarrheal_diseases,0.00032338637531268994
Nutritional_deficiencies,0.0002802417508600678
Protein_energy_malnutrition,0.00026335933035781913
Neonatal_disorders,0.00017931082854783778
Lower_respiratory_infections,0.00017606762221295067
Tuberculosis,0.00015506479291287198
Drowning,6.798862789537084e-05
Meningitis,4.040678560498481e-05
Malaria,3.0426912327397504e-05
Acute_hepatitis,2.4970655416134722e-05
Maternal_disorders,2.4520635551524646e-05
Self_harm,2.1188162862478604e-05
Interpersonal_violence,3.988725942015935e-06
Fire__heat__and_hot_substances,3.9262385203189636e-06
Chronic_respiratory_diseases,3.6164195106311086e-06
Environmental_heat_and_cold_exposure,2.703415108678738e-06
HIV_AIDS,1.7486336420068224e-06
Poisonings,8.256425000301889e-07
Road_injuries_,6.543239056415229e-07
Alcohol_use_disorders,1.3258316929030492e-07
Drug_use_disorders,-8.47044357648482e-08
Conflict_and_terrorism,-1.4484993087566912e-06
Digestive_diseases,-8.776360313486999e-06
Cirrhosis_and_other_chronic_liver_diseases,-1.1679605937917959e-05
Parkinson_s_disease,-4.0870648042433226e-05
Exposure_to_forces_of_nature,-0.00010920066196257774
Diabetes_mellitus,-0.000111322599805891
Chronic_kidney_disease,-0.00014914039496869455
Cardiovascular_diseases,-0.0002002480585939258
Alzheimer_s_disease_and_other_dementias,-0.00021863089632911362
Neoplasms,-0.00025584415551859526
