,row_2018_data
Neoplasms,0.000792132488337682
Cardiovascular_diseases,0.0006640685922023343
Alzheimer_s_disease_and_other_dementias,0.0006370115280045574
Diabetes_mellitus,0.00034427844214271084
Chronic_kidney_disease,0.0003311575722092829
Parkinson_s_disease,9.489363323252043e-05
Drug_use_disorders,2.2131305636310825e-05
Digestive_diseases,2.1673606059078514e-05
Cirrhosis_and_other_chronic_liver_diseases,1.7134990670384623e-05
Chronic_respiratory_diseases,4.412943634687124e-06
Alcohol_use_disorders,-2.0608513590027498e-06
Conflict_and_terrorism,-9.286274483025764e-06
Poisonings,-1.1983752001834268e-05
Fire__heat__and_hot_substances,-1.2866387582998216e-05
Interpersonal_violence,-1.6945760675204067e-05
Environmental_heat_and_cold_exposure,-2.2939551314871053e-05
Road_injuries_,-4.518875452726276e-05
Self_harm,-5.319054655778487e-05
Maternal_disorders,-0.00010535059530649381
Acute_hepatitis,-0.00010835995361237161
Exposure_to_forces_of_nature,-0.0002128681851283786
Drowning,-0.0002178192348517837
Meningitis,-0.00023293940173202865
Malaria,-0.0003876884685359964
Lower_respiratory_infections,-0.0004297829071348534
Tuberculosis,-0.000549477236729286
Protein_energy_malnutrition,-0.0005502414553480892
HIV_AIDS,-0.0005621345723316891
Nutritional_deficiencies,-0.0005858179767940241
Neonatal_disorders,-0.0011204994379020684
Diarrheal_diseases,-0.001280838657799886
