,row_2017_data
Neoplasms,0.0006658605404643997
Alzheimer_s_disease_and_other_dementias,0.0005524465227906084
Cardiovascular_diseases,0.0005465989632803554
Chronic_kidney_disease,0.0003013908246724353
Diabetes_mellitus,0.0002997872241734989
Parkinson_s_disease,8.17613801605909e-05
Digestive_diseases,2.1091360974574008e-05
Drug_use_disorders,1.7580676914824464e-05
Cirrhosis_and_other_chronic_liver_diseases,1.6624536911374974e-05
Conflict_and_terrorism,3.588647321582777e-06
Chronic_respiratory_diseases,1.056108443224979e-06
Alcohol_use_disorders,-2.2864219800557817e-06
Poisonings,-9.544311614329923e-06
Fire__heat__and_hot_substances,-1.2759990978179715e-05
Interpersonal_violence,-1.4221367530269915e-05
Environmental_heat_and_cold_exposure,-2.126237089931293e-05
Road_injuries_,-3.876628092350004e-05
Self_harm,-5.403414789359299e-05
Maternal_disorders,-9.506080678546862e-05
Acute_hepatitis,-9.715703462527813e-05
Exposure_to_forces_of_nature,-0.00018013487334351026
Meningitis,-0.00019229676351128762
Drowning,-0.00020077340264230178
Malaria,-0.0003677015576261939
Lower_respiratory_infections,-0.00037532350542926647
HIV_AIDS,-0.0003846578931014895
Tuberculosis,-0.0004461632421810151
Protein_energy_malnutrition,-0.00048412274081244136
Nutritional_deficiencies,-0.0005169858298770336
Neonatal_disorders,-0.0008598306384693128
Diarrheal_diseases,-0.0010411960277349483
