,row_1998_data
Diarrheal_diseases,0.0002501524925032201
Nutritional_deficiencies,0.00020210801373007903
Protein_energy_malnutrition,0.0001947617141120526
Tuberculosis,0.00013658349370295505
Neonatal_disorders,0.0001352667640512474
Lower_respiratory_infections,0.00011352393531077016
HIV_AIDS,6.337257177253548e-05
Drowning,5.347327675061684e-05
Malaria,3.1048106410806915e-05
Meningitis,2.7962354189114264e-05
Maternal_disorders,2.164974970678672e-05
Self_harm,2.134689785210028e-05
Acute_hepatitis,1.9552237182753193e-05
Interpersonal_violence,4.398958668246723e-06
Environmental_heat_and_cold_exposure,3.1155597083992094e-06
Chronic_respiratory_diseases,2.56215148457565e-06
Fire__heat__and_hot_substances,2.339141106122791e-06
Road_injuries_,4.956809834893668e-07
Poisonings,3.7141773470559847e-07
Conflict_and_terrorism,2.2173491891515278e-07
Alcohol_use_disorders,8.55173598211267e-08
Drug_use_disorders,9.394654752382258e-09
Exposure_to_forces_of_nature,-1.3436320282859014e-12
Digestive_diseases,-9.049741591827675e-06
Cirrhosis_and_other_chronic_liver_diseases,-1.0512394085718713e-05
Parkinson_s_disease,-3.341780513399392e-05
Diabetes_mellitus,-8.510658958792009e-05
Chronic_kidney_disease,-0.00011401785378429576
Alzheimer_s_disease_and_other_dementias,-0.00018701710579244147
Cardiovascular_diseases,-0.0001959478391831979
Neoplasms,-0.00021085703948887317
