,row_2012_data
Neoplasms,0.00023559967889131596
Alzheimer_s_disease_and_other_dementias,0.0001759347590958799
Cardiovascular_diseases,0.00016982914982201485
Chronic_kidney_disease,0.00012058521856123387
Diabetes_mellitus,8.30660417026534e-05
Parkinson_s_disease,3.1329008634951286e-05
Cirrhosis_and_other_chronic_liver_diseases,1.1857610907876903e-05
Digestive_diseases,7.926599677489528e-06
Road_injuries_,1.74933318821847e-08
Drug_use_disorders,-8.680037142620573e-11
Conflict_and_terrorism,-1.2979699703700943e-07
Alcohol_use_disorders,-9.61785183301576e-07
Poisonings,-1.233558567433639e-06
Chronic_respiratory_diseases,-2.224546904868287e-06
Interpersonal_violence,-4.4200664362124766e-06
Fire__heat__and_hot_substances,-4.929326513714388e-06
HIV_AIDS,-7.092388076875803e-06
Environmental_heat_and_cold_exposure,-7.2208034271983076e-06
Self_harm,-1.2846683153055398e-05
Malaria,-2.2594967067469853e-05
Acute_hepatitis,-2.3392483910748558e-05
Maternal_disorders,-2.5224380730732437e-05
Meningitis,-4.823264472513704e-05
Drowning,-8.093845475202587e-05
Neonatal_disorders,-0.00015964679052376304
Tuberculosis,-0.00018994900663134632
Lower_respiratory_infections,-0.0001956871298719352
Exposure_to_forces_of_nature,-0.00023772908122137845
Protein_energy_malnutrition,-0.000302682010926062
Nutritional_deficiencies,-0.00032580345241898655
Diarrheal_diseases,-0.0003966856837724431
