,row_2014_data
Neoplasms,0.000369622306564581
Alzheimer_s_disease_and_other_dementias,0.00030265878818497034
Cardiovascular_diseases,0.0002804928486526137
Chronic_kidney_disease,0.00019481806387961105
Diabetes_mellitus,0.00015992460196148205
Conflict_and_terrorism,0.00012153249334294694
Parkinson_s_disease,5.3360653096225284e-05
Cirrhosis_and_other_chronic_liver_diseases,8.950708354558685e-06
Digestive_diseases,8.75356281743872e-06
Drug_use_disorders,1.8565995314107672e-06
Chronic_respiratory_diseases,-2.785207352484732e-09
Alcohol_use_disorders,-1.7079617662520228e-06
Poisonings,-3.5217653938613775e-06
Fire__heat__and_hot_substances,-8.042899041594415e-06
Road_injuries_,-8.753998966978219e-06
Interpersonal_violence,-9.038749643157124e-06
Environmental_heat_and_cold_exposure,-1.2700920373634304e-05
Self_harm,-3.351367483792099e-05
Maternal_disorders,-4.822740822925663e-05
Acute_hepatitis,-5.3295412761289744e-05
Meningitis,-9.087875543779724e-05
HIV_AIDS,-0.00011061859827163952
Malaria,-0.0001210946724783332
Drowning,-0.0001291172069501803
Lower_respiratory_infections,-0.00022523396955268166
Tuberculosis,-0.0002525616818160295
Exposure_to_forces_of_nature,-0.00026830456706848876
Neonatal_disorders,-0.0003185580136955608
Protein_energy_malnutrition,-0.0003713550979717751
Nutritional_deficiencies,-0.0003979345321829266
Diarrheal_diseases,-0.0006663330045162388
