,row_2019_data
Neoplasms,0.0009364594979419973
Cardiovascular_diseases,0.0007778402755729084
Alzheimer_s_disease_and_other_dementias,0.0007080584802438366
Diabetes_mellitus,0.00038687607701047176
Chronic_kidney_disease,0.00036162216790956324
Parkinson_s_disease,0.00010648171255260575
Drug_use_disorders,2.7236512235617077e-05
Digestive_diseases,2.2328955271879673e-05
Cirrhosis_and_other_chronic_liver_diseases,1.7262885816865048e-05
Chronic_respiratory_diseases,8.786391370958963e-06
Alcohol_use_disorders,-2.058014187006509e-06
Fire__heat__and_hot_substances,-1.430509274781799e-05
Poisonings,-1.4707095729052025e-05
Environmental_heat_and_cold_exposure,-2.165802994481597e-05
Interpersonal_violence,-2.7761300965218033e-05
Road_injuries_,-5.8565911220981814e-05
Self_harm,-6.080856613022319e-05
Maternal_disorders,-0.00011831374250726595
Acute_hepatitis,-0.00012093805517080067
Conflict_and_terrorism,-0.00013005614194699032
Drowning,-0.00024214066886742115
Meningitis,-0.0002667357195646049
Exposure_to_forces_of_nature,-0.00030382674799311535
Malaria,-0.0003798262351901475
Lower_respiratory_infections,-0.00047892282211999416
Protein_energy_malnutrition,-0.0006064454276726579
Nutritional_deficiencies,-0.00064550370235313
Tuberculosis,-0.00066089356967329
HIV_AIDS,-0.0006937097624866249
Neonatal_disorders,-0.0013877767750076668
Diarrheal_diseases,-0.0015087213555670474
