,row_2016_data
Neoplasms,0.0005607708311540643
Cardiovascular_diseases,0.00046116844938401923
Alzheimer_s_disease_and_other_dementias,0.00045549513841091965
Chronic_kidney_disease,0.0002759354378303949
Diabetes_mellitus,0.0002520655837226185
Parkinson_s_disease,7.164386203680569e-05
Conflict_and_terrorism,4.651899651273133e-05
Digestive_diseases,1.55968708218905e-05
Cirrhosis_and_other_chronic_liver_diseases,1.2977486506860739e-05
Drug_use_disorders,1.1740462427530478e-05
Chronic_respiratory_diseases,1.1695657776928997e-07
Alcohol_use_disorders,-1.9301033376247292e-06
Poisonings,-6.983450405678463e-06
Fire__heat__and_hot_substances,-1.0798476286471594e-05
Interpersonal_violence,-1.4966908676061362e-05
Environmental_heat_and_cold_exposure,-1.7419660787235615e-05
Road_injuries_,-2.9087454110431673e-05
Self_harm,-4.8492984220489745e-05
Maternal_disorders,-7.981793012213414e-05
Acute_hepatitis,-8.573755404642734e-05
Meningitis,-0.00015210148300545505
Drowning,-0.00017166264098142858
Exposure_to_forces_of_nature,-0.0002479672804831818
HIV_AIDS,-0.00026268953205033584
Malaria,-0.0002736156205475817
Lower_respiratory_infections,-0.00030741443760094744
Tuberculosis,-0.00038523402229118835
Protein_energy_malnutrition,-0.0004452751461022071
Nutritional_deficiencies,-0.00047707108526580605
Neonatal_disorders,-0.0006337357005488185
Diarrheal_diseases,-0.000978296275317445
