,row_2001_data
HIV_AIDS,0.0005757810404576455
Tuberculosis,5.616855792451919e-05
Protein_energy_malnutrition,4.982734085736177e-05
Nutritional_deficiencies,4.419552844550298e-05
Diarrheal_diseases,4.414212574901932e-05
Neonatal_disorders,3.275754748944854e-05
Malaria,2.1971822342963985e-05
Drowning,1.0095261013633346e-05
Maternal_disorders,8.745925936382606e-06
Meningitis,8.421284377236297e-06
Interpersonal_violence,7.541027915028024e-06
Self_harm,6.055261936846056e-06
Acute_hepatitis,5.083554594060378e-06
Alcohol_use_disorders,3.278439344733735e-06
Environmental_heat_and_cold_exposure,3.171323219642512e-06
Lower_respiratory_infections,2.7478526075189213e-06
Road_injuries_,2.084479921649312e-06
Fire__heat__and_hot_substances,1.485187055773252e-06
Poisonings,4.1887456340994073e-07
Chronic_respiratory_diseases,3.4528519871575617e-07
Drug_use_disorders,4.414887182171181e-09
Cirrhosis_and_other_chronic_liver_diseases,-3.0418505344618845e-06
Digestive_diseases,-4.641288601041663e-06
Parkinson_s_disease,-1.2968495846161197e-05
Diabetes_mellitus,-3.1426760040183005e-05
Exposure_to_forces_of_nature,-3.8128266694266346e-05
Chronic_kidney_disease,-4.123415482946405e-05
Cardiovascular_diseases,-6.963503911228521e-05
Conflict_and_terrorism,-7.620508500872384e-05
Neoplasms,-8.785773101360446e-05
Alzheimer_s_disease_and_other_dementias,-9.785342767714366e-05
