,row_2004_data
Exposure_to_forces_of_nature,0.001000832877999033
HIV_AIDS,0.0009436095835455224
Malaria,4.314239793714485e-05
Alcohol_use_disorders,7.426466117210848e-06
Road_injuries_,4.028388584885619e-06
Environmental_heat_and_cold_exposure,2.4685910611720765e-06
Neonatal_disorders,2.2071587996499173e-06
Self_harm,1.6889367284795209e-06
Interpersonal_violence,1.0407297509673808e-06
Poisonings,5.341687658287506e-07
Cirrhosis_and_other_chronic_liver_diseases,3.3671269461487666e-07
Meningitis,2.9886635817513756e-07
Maternal_disorders,1.2160715670239778e-07
Fire__heat__and_hot_substances,1.0656267616292985e-07
Tuberculosis,7.86705199841592e-09
Acute_hepatitis,-3.934888485114155e-08
Digestive_diseases,-3.062043924140657e-07
Drowning,-1.7894826739246929e-06
Parkinson_s_disease,-1.8040478009095234e-06
Drug_use_disorders,-2.0174268333972447e-06
Diabetes_mellitus,-2.703652272858587e-06
Chronic_respiratory_diseases,-2.875671114060214e-06
Chronic_kidney_disease,-5.488463878264955e-06
Diarrheal_diseases,-1.3476613901858715e-05
Neoplasms,-1.4275951102820207e-05
Cardiovascular_diseases,-1.48933885123991e-05
Alzheimer_s_disease_and_other_dementias,-2.2942816914737433e-05
Lower_respiratory_infections,-2.6728432485489863e-05
Protein_energy_malnutrition,-4.513864927618269e-05
Nutritional_deficiencies,-5.454910047574446e-05
Conflict_and_terrorism,-6.799438981213422e-05
