,row_2000_data
HIV_AIDS,0.00038412001561047987
Diarrheal_diseases,9.506897558300177e-05
Tuberculosis,9.125993783481719e-05
Protein_energy_malnutrition,8.720205404487457e-05
Nutritional_deficiencies,8.257308756030163e-05
Neonatal_disorders,5.6298923718798915e-05
Lower_respiratory_infections,2.242341321444035e-05
Drowning,2.1147967388338983e-05
Self_harm,1.6729982964159066e-05
Meningitis,1.4182863221799929e-05
Maternal_disorders,1.3749758372692193e-05
Malaria,9.681682531463467e-06
Acute_hepatitis,9.366535167166596e-06
Interpersonal_violence,8.747430546972697e-06
Conflict_and_terrorism,4.299721395256351e-06
Environmental_heat_and_cold_exposure,2.504857776176086e-06
Fire__heat__and_hot_substances,1.987705022723158e-06
Alcohol_use_disorders,1.6536935365053443e-06
Road_injuries_,1.5772081009341919e-06
Chronic_respiratory_diseases,7.364213344053408e-07
Drug_use_disorders,4.612469480000783e-07
Poisonings,4.52511146112834e-07
Cirrhosis_and_other_chronic_liver_diseases,-6.497730592677775e-06
Digestive_diseases,-7.466304149660399e-06
Parkinson_s_disease,-1.9795302281972534e-05
Diabetes_mellitus,-4.9535647808840824e-05
Chronic_kidney_disease,-6.256930347302205e-05
Cardiovascular_diseases,-0.00010970956730047086
Neoplasms,-0.00011726910510823519
Alzheimer_s_disease_and_other_dementias,-0.00013036167738653516
Exposure_to_forces_of_nature,-0.00023034156564481263
