,row_2008_data
Exposure_to_forces_of_nature,0.0009249356796074295
HIV_AIDS,0.0002697585375321136
Neoplasms,2.3692775493161728e-05
Chronic_kidney_disease,1.7410825831422816e-05
Malaria,1.5350098308535053e-05
Alzheimer_s_disease_and_other_dementias,1.3965851416918148e-05
Diabetes_mellitus,1.1809150602697896e-05
Cirrhosis_and_other_chronic_liver_diseases,8.284782951317336e-06
Cardiovascular_diseases,6.887386505683053e-06
Road_injuries_,5.3428260368941906e-06
Parkinson_s_disease,4.7266477162384005e-06
Digestive_diseases,3.0188643876346882e-06
Alcohol_use_disorders,1.1064429000086934e-06
Poisonings,-1.2131365308854065e-08
Drug_use_disorders,-3.747638709534802e-07
Environmental_heat_and_cold_exposure,-8.621832682652076e-07
Fire__heat__and_hot_substances,-8.769589492077368e-07
Self_harm,-1.021637041855481e-06
Interpersonal_violence,-1.5871634937135866e-06
Chronic_respiratory_diseases,-3.7844818817357436e-06
Meningitis,-4.186406549511494e-06
Maternal_disorders,-4.838753769844214e-06
Acute_hepatitis,-5.609576804447406e-06
Neonatal_disorders,-2.492445407029759e-05
Drowning,-2.95866686574725e-05
Tuberculosis,-4.2652727833662816e-05
Conflict_and_terrorism,-9.652683129023472e-05
Diarrheal_diseases,-0.00010206845399530345
Lower_respiratory_infections,-0.00010390381251159818
Protein_energy_malnutrition,-0.0001715931802836882
Nutritional_deficiencies,-0.0001894692494041933
