,row_2003_data
HIV_AIDS,0.0008714754181114222
Malaria,4.5520318538403944e-05
Tuberculosis,8.948480184323778e-06
Neonatal_disorders,7.665339286166886e-06
Environmental_heat_and_cold_exposure,7.510390741227014e-06
Alcohol_use_disorders,6.780483920069719e-06
Road_injuries_,3.0013066159107285e-06
Interpersonal_violence,2.9590702344374302e-06
Meningitis,1.6155723918200759e-06
Self_harm,1.4645916155911097e-06
Maternal_disorders,9.314908892367184e-07
Fire__heat__and_hot_substances,5.964729284747689e-07
Poisonings,4.130519472992836e-07
Acute_hepatitis,6.981497656791257e-08
Cirrhosis_and_other_chronic_liver_diseases,4.435916804238898e-09
Diarrheal_diseases,-3.154394604848882e-08
Drowning,-5.076230508438011e-08
Chronic_respiratory_diseases,-8.318016997920213e-08
Digestive_diseases,-5.78870012151074e-07
Drug_use_disorders,-1.5920442857822838e-06
Parkinson_s_disease,-3.674487278488561e-06
Diabetes_mellitus,-6.0797576124106125e-06
Lower_respiratory_infections,-8.621816557362522e-06
Chronic_kidney_disease,-1.1650919463401235e-05
Cardiovascular_diseases,-1.1849108365414272e-05
Exposure_to_forces_of_nature,-1.8776618960695968e-05
Protein_energy_malnutrition,-2.0403707197909284e-05
Nutritional_deficiencies,-2.510425978001382e-05
Neoplasms,-3.2079759773460254e-05
Alzheimer_s_disease_and_other_dementias,-4.3666449615948895e-05
Conflict_and_terrorism,-6.490560757049064e-05
