,row_1999_data
HIV_AIDS,0.00020266839383096744
Diarrheal_diseases,0.00016268705532271506
Protein_energy_malnutrition,0.0001332284387581277
Nutritional_deficiencies,0.00013186352474224658
Tuberculosis,0.00010904118380384393
Neonatal_disorders,8.73800965244967e-05
Lower_respiratory_infections,5.7475642259351796e-05
Conflict_and_terrorism,3.5567482421855224e-05
Drowning,3.42589681061539e-05
Exposure_to_forces_of_nature,2.796234618506873e-05
Self_harm,2.176798714477045e-05
Meningitis,2.0179774035974582e-05
Malaria,1.8985155868870608e-05
Maternal_disorders,1.7547311433040353e-05
Acute_hepatitis,1.3841720060144057e-05
Interpersonal_violence,5.76881184049193e-06
Fire__heat__and_hot_substances,2.1430760167867607e-06
Environmental_heat_and_cold_exposure,1.4653079617533822e-06
Road_injuries_,7.436068520219515e-07
Chronic_respiratory_diseases,6.371747799665693e-07
Alcohol_use_disorders,4.340874320153321e-07
Poisonings,2.714790380678815e-07
Drug_use_disorders,1.193067321766353e-07
Cirrhosis_and_other_chronic_liver_diseases,-9.488994527560933e-06
Digestive_diseases,-9.489006847834152e-06
Parkinson_s_disease,-2.7008038718301375e-05
Diabetes_mellitus,-6.84425354710831e-05
Chronic_kidney_disease,-8.977282550652545e-05
Cardiovascular_diseases,-0.00015558333566950428
Alzheimer_s_disease_and_other_dementias,-0.0001615515477701075
Neoplasms,-0.00016514579121090518
