,row_2007_data
HIV_AIDS,0.0005091426171806948
Malaria,2.5970057809565563e-05
Neoplasms,1.0311406041042847e-05
Chronic_kidney_disease,8.008818120744702e-06
Cirrhosis_and_other_chronic_liver_diseases,7.654656263012091e-06
Road_injuries_,6.621017286401697e-06
Diabetes_mellitus,6.4420204047418105e-06
Alzheimer_s_disease_and_other_dementias,3.826115183558777e-06
Digestive_diseases,2.956484293406569e-06
Alcohol_use_disorders,2.923631174324095e-06
Parkinson_s_disease,1.88637110843439e-06
Cardiovascular_diseases,1.3626049314711041e-06
Poisonings,4.918110524165157e-09
Self_harm,-5.04551151539835e-11
Environmental_heat_and_cold_exposure,-5.926746843308514e-08
Fire__heat__and_hot_substances,-1.9863691181327175e-07
Drug_use_disorders,-3.8410322758002636e-07
Meningitis,-4.300708653127305e-07
Interpersonal_violence,-1.0616744850884633e-06
Maternal_disorders,-1.6006748479710959e-06
Acute_hepatitis,-2.3867513872043015e-06
Chronic_respiratory_diseases,-3.6997503360829457e-06
Neonatal_disorders,-6.431737277545757e-06
Drowning,-1.8174821897588486e-05
Tuberculosis,-2.0247765164859463e-05
Diarrheal_diseases,-5.934116098980707e-05
Conflict_and_terrorism,-6.597606670711372e-05
Lower_respiratory_infections,-7.152957081054973e-05
Protein_energy_malnutrition,-0.00013082388155435042
Exposure_to_forces_of_nature,-0.00013564061086972283
Nutritional_deficiencies,-0.00014688114362540743
