,row_2011_data
Neoplasms,0.00017056135077000382
Alzheimer_s_disease_and_other_dementias,0.00012107170048982689
Cardiovascular_diseases,0.00011728674022250859
Chronic_kidney_disease,8.802205441298875e-05
Diabetes_mellitus,5.277167781797998e-05
Parkinson_s_disease,2.261006384184078e-05
Cirrhosis_and_other_chronic_liver_diseases,1.1665692617207624e-05
Digestive_diseases,6.962488047492833e-06
HIV_AIDS,4.581920635944245e-06
Road_injuries_,1.0627928335648295e-06
Drug_use_disorders,-7.006321085417992e-08
Malaria,-2.3043742142853563e-07
Alcohol_use_disorders,-3.555620531299212e-07
Poisonings,-5.466207117578898e-07
Chronic_respiratory_diseases,-2.845135976797873e-06
Fire__heat__and_hot_substances,-3.4919948470294202e-06
Interpersonal_violence,-5.360036831575431e-06
Environmental_heat_and_cold_exposure,-6.655626307687526e-06
Self_harm,-7.285495782337922e-06
Maternal_disorders,-1.5893705033242974e-05
Acute_hepatitis,-1.9412394204533582e-05
Meningitis,-2.9822710213171734e-05
Exposure_to_forces_of_nature,-3.3643489081812406e-05
Drowning,-6.819077048197616e-05
Conflict_and_terrorism,-0.00010679744597024858
Neonatal_disorders,-0.00011240958964280805
Tuberculosis,-0.0001646450893530065
Lower_respiratory_infections,-0.00018422345376855947
Protein_energy_malnutrition,-0.00023842262828151662
Nutritional_deficiencies,-0.0002621826022087797
Diarrheal_diseases,-0.00027726867276272726
