,HIV_AIDS,Diarrheal_diseases,Lower_respiratory_infections,Nutritional_deficiencies,Neonatal_disorders,Protein_energy_malnutrition,Neoplasms,Alzheimer_s_disease_and_other_dementias,Cardiovascular_diseases,Tuberculosis,Diabetes_mellitus,Chronic_kidney_disease,Drowning,Meningitis,Parkinson_s_disease,Acute_hepatitis,Maternal_disorders,Malaria,Cirrhosis_and_other_chronic_liver_diseases,Drug_use_disorders,Alcohol_use_disorders,Digestive_diseases,Conflict_and_terrorism,Fire__heat__and_hot_substances,Self_harm,Poisonings,Road_injuries_,Exposure_to_forces_of_nature,Interpersonal_violence,Environmental_heat_and_cold_exposure,Chronic_respiratory_diseases
1990,-0.0033616386602331443,0.00139438910030218,0.0009448597403745101,0.0008186305721466051,0.0007761928234513715,0.0006958659121982613,-0.0006887669084989327,-0.000559134331706913,-0.0004439673183884423,0.0004294044653384002,-0.0003594478804665063,-0.0003492273698415386,0.00024505403899614656,0.0001507175566685051,-9.301352767806772e-05,8.176094099131677e-05,7.85084150468333e-05,3.669021386619681e-05,-3.56065363651683e-05,-3.0310553648109346e-05,-2.2310417722881887e-05,-1.6804412414894807e-05,1.2464047936864772e-05,8.877114797712477e-06,6.28550271459334e-06,5.488081701099471e-06,4.662873787957683e-06,2.850621254080482e-06,-4.803286984457155e-07,2.0299408758370633e-07,-9.316671782343936e-08
1991,-0.0024000926750690835,0.0013178003156540776,0.0007871183760312841,0.0006704486457189884,0.0006451043560446908,0.0005649661775263548,-0.0006292890965449187,-0.0004990762164016581,-0.00043774820747067254,0.00040517969186751063,-0.0003297017893205173,-0.00033358795371891416,0.0002115600446013202,0.0001300382931570161,-8.711454645168762e-05,7.315354232864739e-05,6.307308070594006e-05,4.3916764686306644e-05,-3.4221488797760266e-05,-1.7476183577765314e-05,-1.4960069530761986e-05,-1.6781045134684402e-05,-9.382036531283436e-06,8.123060129942614e-06,8.097222611623404e-06,4.317130324943741e-06,2.497746629595999e-06,0.0005341802514517823,-1.6006097045261125e-10,4.812243851296117e-07,9.669258415244354e-08
1992,-0.0015663752459713588,0.0011666138879579731,0.0006846093426028073,0.0005417579604631705,0.0005519764802137559,0.0004539104642595276,-0.0005350789366147879,-0.00043722920414474573,-0.0003605399153105097,0.00041506269748377853,-0.0002857113891813043,-0.0003020768235427486,0.00018134721755541444,0.00011697066843885796,-7.930796795080369e-05,6.51411499381924e-05,6.002353393580012e-05,3.500718548071779e-05,-2.9450655706582006e-05,-9.523166472729397e-06,-5.898107851757869e-06,-1.3470295438531297e-05,-7.427994202463528e-05,8.051873457998442e-06,1.3238377316193586e-05,4.163775521087988e-06,2.2063630004002046e-06,-0.0001681553770936836,4.038176739071882e-06,2.0124995499144895e-06,2.003855949012014e-06
1993,-0.0009188617119143525,0.0008809537391513116,0.0005381097002666287,0.00041688642930266264,0.0004317004670526363,0.0003500866702845387,-0.0004524494272066101,-0.00039252450899022193,-0.00026047579344845237,0.00030402866588421715,-0.0002508513296573692,-0.0002838203006908075,0.00015947592058198636,9.220636692925006e-05,-7.153968213404301e-05,5.442349184307934e-05,4.25251629152417e-05,2.8736163807349972e-05,-2.4535581395837948e-05,-4.862803144896585e-06,-5.169114332852353e-07,-1.1954854418498302e-05,-7.577042521529008e-05,8.515639715997523e-06,1.8328713348923244e-05,4.298666197588203e-06,1.209818225072042e-06,-7.464687081641712e-05,1.487496926071396e-05,8.37954466371285e-06,2.6843331071348966e-06
1994,-0.0004650889603030838,0.0006354374388789384,0.00037457323251926123,0.0003038438373935493,0.0003031535875509424,0.0002571638087197929,-0.00045995661754325966,-0.00036627778462812303,-0.000294010006045807,0.0002140376746677811,-0.00023486776275083616,-0.00027403549592306146,0.00013273584081220538,6.455683893862431e-05,-6.999617812039735e-05,4.149860900526077e-05,3.284540028868809e-05,1.3296812542343945e-05,-2.570845017465747e-05,-1.9563193976152824e-06,1.3975471940497628e-07,-1.6893762102160054e-05,0.0027307022543669257,7.827601564318573e-06,2.3586475354388584e-05,3.388778892654369e-06,3.402582570662452e-07,-0.00016517650680935594,1.4560093633227307e-05,1.4751380807969706e-05,4.774927651863235e-08
1995,-0.00015146559703321425,0.0005143238659748115,0.00032459630610428116,0.0005261238194735559,0.00027497823380395357,0.000493395976042939,-0.0003526815921636832,-0.00030281507741006654,-0.00023532782131272228,0.00019401518676884656,-0.0001885281257728924,-0.00022971653893058943,0.00012007946938693984,5.857123597405008e-05,-5.892332137670813e-05,3.7116284748011426e-05,2.953967989424407e-05,1.6993592869326527e-05,-1.7343975760252504e-05,-4.449192430929045e-07,6.881764220363943e-07,-1.1302395319413199e-05,-6.326230649197342e-05,6.819107730838211e-06,2.9499219192253212e-05,2.993763813093818e-06,1.2615146111569242e-06,-9.559482431954254e-05,1.6275717304021955e-05,1.5360547897450678e-05,6.120621983134894e-07
1996,-2.316264234167374e-05,0.0004056768444949221,0.00024464609180122054,0.0003600798343437995,0.0002265732806888644,0.00033590986200285225,-0.0002929590939963287,-0.0002534149863226943,-0.00021299945129410643,0.00016452578485308747,-0.000146582725332743,-0.0001891473547871855,9.025755063722977e-05,6.805115769334218e-05,-4.9179830243609916e-05,2.9377651839434182e-05,2.505242731518022e-05,2.117612950356415e-05,-1.387880526738342e-05,-1.1882547561080711e-07,4.838770842197483e-07,-9.84585550807451e-06,-1.220946021923252e-05,5.025142182584418e-06,2.3585715802706075e-05,1.8522395224688503e-06,8.360813640514455e-07,-0.00013900035509671933,7.922112323863965e-06,7.195545024758779e-06,2.047553640084816e-06
1997,1.7486336420068224e-06,0.00032338637531268994,0.00017606762221295067,0.0002802417508600678,0.00017931082854783778,0.00026335933035781913,-0.00025584415551859526,-0.00021863089632911362,-0.0002002480585939258,0.00015506479291287198,-0.000111322599805891,-0.00014914039496869455,6.798862789537084e-05,4.040678560498481e-05,-4.0870648042433226e-05,2.4970655416134722e-05,2.4520635551524646e-05,3.0426912327397504e-05,-1.1679605937917959e-05,-8.47044357648482e-08,1.3258316929030492e-07,-8.776360313486999e-06,-1.4484993087566912e-06,3.9262385203189636e-06,2.1188162862478604e-05,8.256425000301889e-07,6.543239056415229e-07,-0.00010920066196257774,3.988725942015935e-06,2.703415108678738e-06,3.6164195106311086e-06
1998,6.337257177253548e-05,0.0002501524925032201,0.00011352393531077016,0.00020210801373007903,0.0001352667640512474,0.0001947617141120526,-0.00021085703948887317,-0.00018701710579244147,-0.0001959478391831979,0.00013658349370295505,-8.510658958792009e-05,-0.00011401785378429576,5.347327675061684e-05,2.7962354189114264e-05,-3.341780513399392e-05,1.9552237182753193e-05,2.164974970678672e-05,3.1048106410806915e-05,-1.0512394085718713e-05,9.394654752382258e-09,8.55173598211267e-08,-9.049741591827675e-06,2.2173491891515278e-07,2.339141106122791e-06,2.134689785210028e-05,3.7141773470559847e-07,4.956809834893668e-07,-1.3436320282859014e-12,4.398958668246723e-06,3.1155597083992094e-06,2.56215148457565e-06
1999,0.00020266839383096744,0.00016268705532271506,5.7475642259351796e-05,0.00013186352474224658,8.73800965244967e-05,0.0001332284387581277,-0.00016514579121090518,-0.0001615515477701075,-0.00015558333566950428,0.00010904118380384393,-6.84425354710831e-05,-8.977282550652545e-05,3.42589681061539e-05,2.0179774035974582e-05,-2.7008038718301375e-05,1.3841720060144057e-05,1.7547311433040353e-05,1.8985155868870608e-05,-9.488994527560933e-06,1.193067321766353e-07,4.340874320153321e-07,-9.489006847834152e-06,3.5567482421855224e-05,2.1430760167867607e-06,2.176798714477045e-05,2.714790380678815e-07,7.436068520219515e-07,2.796234618506873e-05,5.76881184049193e-06,1.4653079617533822e-06,6.371747799665693e-07
